game_nr,target,fixed indices,context condition,distractor,message,accuracy
30,[1. 2. 1.],[0. 0. 1.],0,[1. 1. 3.],[3],0.9394000172615051
31,[3. 0. 1.],[0. 0. 1.],0,[2. 2. 3.],[3],0.9394000172615051
32,[0. 1. 1.],[0. 0. 1.],0,[2. 3. 3.],[3],0.9394000172615051
33,[3. 3. 1.],[0. 0. 1.],0,[2. 0. 3.],[3],0.9394000172615051
34,[2. 3. 1.],[0. 0. 1.],0,[2. 0. 2.],[3],0.9394000172615051
35,[2. 2. 1.],[0. 0. 1.],0,[0. 3. 3.],[3],0.9394000172615051
36,[2. 2. 1.],[0. 0. 1.],0,[2. 3. 3.],[3],0.9394000172615051
37,[2. 2. 1.],[0. 0. 1.],0,[1. 1. 3.],[3],0.9394000172615051
38,[0. 1. 1.],[0. 0. 1.],0,[3. 2. 3.],[3],0.9394000172615051
39,[0. 1. 1.],[0. 0. 1.],0,[1. 3. 2.],[3],0.9394000172615051
