game_nr,target,fixed indices,context condition,distractor,message,accuracy
30,[1. 2. 1.],[0. 0. 1.],0,[1. 1. 3.],"[2, 2, 2, 4, 2, 2, 4, 2]",0.9195999503135681
31,[3. 0. 1.],[0. 0. 1.],0,[2. 2. 3.],"[2, 2, 2, 2, 2, 4, 2, 2, 4, 2]",0.9197999835014343
32,[0. 1. 1.],[0. 0. 1.],0,[2. 3. 3.],"[2, 2, 2, 4, 2, 2, 4, 2, 4, 2]",0.9197999835014343
33,[3. 3. 1.],[0. 0. 1.],0,[2. 0. 3.],"[2, 2, 2, 2, 4, 2, 2, 4, 2]",0.925000011920929
34,[2. 3. 1.],[0. 0. 1.],0,[2. 0. 2.],"[2, 2, 2, 4, 2, 2, 4, 2, 4, 2]",0.9197999835014343
35,[2. 2. 1.],[0. 0. 1.],0,[0. 3. 3.],"[2, 2, 2, 2, 4, 2, 2, 4, 2]",0.925000011920929
36,[2. 2. 1.],[0. 0. 1.],0,[2. 3. 3.],"[2, 2, 2, 2, 4, 2, 2, 4, 2]",0.925000011920929
37,[2. 2. 1.],[0. 0. 1.],0,[1. 1. 3.],"[2, 2, 2, 4, 2, 2, 4, 2, 4, 2]",0.9197999835014343
38,[0. 1. 1.],[0. 0. 1.],0,[3. 2. 3.],"[2, 2, 2, 4, 2, 2, 4, 2, 4, 2]",0.9197999835014343
39,[0. 1. 1.],[0. 0. 1.],0,[1. 3. 2.],"[2, 2, 4, 2, 2, 4, 2, 4, 2, 4]",0.9197999835014343
