game_nr,target,fixed indices,context condition,distractor,message,accuracy
140,[2. 0. 3.],[1. 1. 1.],2,[0. 0. 3.],"[2, 1, 1, 1]",0.9315999746322632
141,[2. 0. 3.],[1. 1. 1.],2,[2. 3. 3.],"[3, 3, 3]",0.9449999928474426
142,[2. 0. 3.],[1. 1. 1.],0,[1. 3. 0.],"[1, 3, 3]",0.9449999928474426
143,[2. 0. 3.],[1. 1. 1.],2,[0. 0. 3.],"[2, 1, 1, 1]",0.9315999746322632
144,[2. 0. 3.],[1. 1. 1.],2,[2. 1. 3.],"[3, 3, 3]",0.9449999928474426
145,[2. 0. 3.],[1. 1. 1.],0,[0. 1. 0.],"[3, 1, 3]",0.9449999928474426
146,[2. 0. 3.],[1. 1. 1.],2,[0. 0. 3.],"[2, 1, 1, 1]",0.9315999746322632
147,[2. 0. 3.],[1. 1. 1.],1,[2. 2. 1.],"[3, 3, 3]",0.9449999928474426
148,[2. 0. 3.],[1. 1. 1.],2,[2. 0. 0.],"[1, 1, 1]",0.9449999928474426
149,[2. 0. 3.],[1. 1. 1.],0,[0. 1. 1.],"[3, 3]",0.9498000741004944
