game_nr,target,fixed indices,context condition,distractor,message,accuracy
20,[1. 1. 1. 0.],[0. 0. 1. 0.],0,[2. 2. 2. 3.],"[4, 1, 1, 1, 1, 1, 1]",0.9916015863418579
21,[3. 3. 1. 2.],[0. 0. 1. 0.],0,[1. 2. 3. 0.],"[4, 1, 1, 1, 1, 1]",0.9916015863418579
22,[0. 0. 1. 0.],[0. 0. 1. 0.],0,[1. 3. 2. 3.],"[4, 1, 1, 1, 1, 1, 1]",0.9916015863418579
23,[0. 3. 1. 1.],[0. 0. 1. 0.],0,[1. 1. 0. 0.],"[4, 1, 1, 1, 1, 1]",0.9916015863418579
24,[0. 0. 1. 1.],[0. 0. 1. 0.],0,[3. 0. 0. 2.],"[4, 1, 1, 1, 1, 1]",0.9916015863418579
25,[1. 3. 1. 0.],[0. 0. 1. 0.],0,[2. 2. 0. 2.],"[4, 1, 1, 1, 1]",0.9896484613418579
26,[1. 1. 1. 3.],[0. 0. 1. 0.],0,[0. 3. 2. 3.],"[4, 1, 1, 1, 1]",0.9896484613418579
27,[1. 3. 1. 2.],[0. 0. 1. 0.],0,[3. 1. 2. 1.],"[4, 1, 1, 1, 1]",0.9896484613418579
28,[0. 0. 1. 2.],[0. 0. 1. 0.],0,[3. 3. 2. 3.],"[4, 1, 1, 1, 1, 1, 1, 1]",0.9919922351837158
29,[3. 3. 1. 0.],[0. 0. 1. 0.],0,[1. 3. 3. 2.],"[2, 4, 1, 4, 1, 4, 1]",0.9916015863418579
